ID,"Work-Life Balance Score"
1006,1
1031,2
1034,1
1036,1
1038,2
1054,2
1062,1
1069,2
1070,2
1073,2
1088,1
1098,2
1107,1
1111,1
1112,1
1126,2
1138,1
1143,2
1146,2
1153,2
1155,1
1168,2
1178,2
1195,2
1198,2
1205,2
1209,1
1218,1
1219,2
1227,2
1257,1
1283,2
1305,2
1308,2
1315,1
1334,1
1342,2
1347,1
1354,2
1361,2
1380,2
1381,1
1395,2
1403,2
1422,2
1425,1
1428,2
1431,1
1470,1
1479,2
1487,2
1492,2
1504,2
1506,2
1511,2
1512,2
1514,2
1535,1
1566,1
1577,1
1593,1
1611,2
1634,1
1637,2
1644,1
1658,2
1660,1
1670,2
1676,1
1691,2
1692,1
1709,2
1724,2
1731,1
1754,1
1774,2
1796,2
1814,1
1828,2
1831,2
1833,2
1858,1
1883,2
1890,2
1913,2
1924,1
1932,2
1957,2
1961,1
1965,1
1966,2
1978,1
1983,1
1984,2
1986,2
1996,2
1997,2
2031,1
2056,1
2067,1
2093,1
2112,1
2142,1
2154,2
2186,1
2195,1
2198,2
2217,2
2219,2
2231,2
2250,1
2265,2
2268,2
2274,1
2281,2
2283,1
2293,1
2298,1
2299,2
2317,1
2333,2
2341,2
2361,2
2375,2
2377,1
2384,2
2392,2
2402,2
2404,1
2410,1
2413,2
2416,1
2425,2
2432,2
2440,2
2458,1
2466,1
2475,1
2484,2
2512,2
2529,1
2530,1
2553,2
2593,2
2599,2
2602,2
2604,2
2611,1
2613,2
2640,2
2646,2
2659,2
2682,2
2691,1
2693,2
2700,1
2709,2
2720,2
2731,2
2741,1
2745,2
2754,1
2757,2
2762,2
2795,1
2797,2
2848,1
2849,1
2868,1
2876,2
2877,1
2879,2
2880,2
2918,1
2919,2
2923,2
2925,1
2926,1
2927,2
2930,2
2945,1
2985,2
3012,1
3019,2
3036,2
3037,2
3063,1
3066,1
3072,1
3077,2
3094,1
3096,2
3103,2
3105,2
3109,1
3123,2
3138,1
3140,1
3150,2
3152,1
3156,2
3159,2
3162,2
3168,2
3170,2
3172,1
3175,1
3195,1
3197,2
3210,1
3235,1
3237,2
3244,1
3253,1
3254,1
3259,1
3260,1
3261,1
3265,2
3282,1
3288,2
3313,2
3316,2
3337,2
3342,1
3344,1
3352,2
3357,1
3358,2
3390,2
3426,2
3429,1
3436,2
3452,2
3469,1
3477,1
3490,2
3505,2
3517,1
3527,2
3547,2
3549,1
3552,2
3557,2
3559,1
3626,1
3630,2
3651,1
3656,2
3676,1
3697,1
3700,1
3702,1
3726,1
3734,2
3737,1
3753,2
3758,1
3761,1
3762,1
3773,2
3780,2
3786,2
3791,1
3812,1
3814,2
3828,1
3835,1
3837,1
3838,2
3851,1
3858,1
3893,2
3898,1
3902,1
3909,2
3928,1
3929,2
3943,2
3947,1
3955,1
3956,2
3969,2
3979,2
3983,1
3990,1
3994,2
3996,1
3997,1
